Year,Rk,Team,W,L,ORtg,DRtg
2014,13,Memphis Grizzlies*,50,32,106.3,104.6
2014,14,Chicago Bulls*,48,34,102.5,100.5
2014,15,Washington Wizards*,44,38,106,104.6
2014,16,Atlanta Hawks*,38,44,105.9,106.4
2014,17,Charlotte Bobcats*,43,39,103.6,103.8
2014,18,Denver Nuggets,36,46,106,108.2
2014,19,New York Knicks,37,45,108.3,109.1
2014,20,Brooklyn Nets*,44,38,106.7,107.7
2014,21,New Orleans Pelicans,34,48,107.2,110.1
2014,22,Sacramento Kings,28,54,105.7,108.8
2014,23,Cleveland Cavaliers,33,49,104.2,107.7
2014,24,Detroit Pistons,29,53,105.9,109.7
2014,25,Boston Celtics,25,57,102.9,107.7
2014,26,Los Angeles Lakers,27,55,104.2,110.6
2014,27,Orlando Magic,23,59,101.7,107.4
2014,28,Utah Jazz,25,57,103.5,111.3
2014,29,Milwaukee Bucks,15,67,103,111.8
2014,30,Philadelphia 76ers,19,63,99.4,109.9
2015,1,Golden State Warriors*,67,15,111.6,101.4
2015,2,Los Angeles Clippers*,56,26,112.4,105.5
2015,3,San Antonio Spurs*,55,27,108.5,102
2015,4,Atlanta Hawks*,60,22,108.9,103.1
2015,5,Portland Trail Blazers*,51,31,108.2,103.7
2015,6,Cleveland Cavaliers*,53,29,111.1,106.3
2015,7,Houston Rockets*,56,26,107,103.4
2015,8,Memphis Grizzlies*,55,27,105.7,102.2
2015,9,Dallas Mavericks*,50,32,109.5,106.4
2015,10,Chicago Bulls*,50,32,107.5,104.3
2015,11,Oklahoma City Thunder,45,37,107.8,105.5
2015,12,Toronto Raptors*,49,33,111,107.7
2015,13,New Orleans Pelicans*,45,37,108.2,107.3
2015,14,Utah Jazz,38,44,105.1,104.9
2015,15,Washington Wizards*,46,36,103.7,103
2015,16,Milwaukee Bucks*,41,41,102.7,102.2
2015,17,Indiana Pacers,38,44,103.5,103.2
2015,18,Phoenix Suns,39,43,105.3,106.2
2015,19,Boston Celtics*,40,42,104.7,104.5
2015,20,Detroit Pistons,32,50,105.3,106.4
2015,21,Miami Heat,37,45,103.9,106.7
2015,22,Denver Nuggets,30,52,104.5,108.2
2015,23,Sacramento Kings,29,53,105.3,109.2
2015,24,Brooklyn Nets*,38,44,104.4,107.4
2015,25,Charlotte Hornets,33,49,100.1,103.5
2015,26,Orlando Magic,25,57,101.6,107.7
2015,27,Los Angeles Lakers,21,61,103.4,110.6
2015,28,Minnesota Timberwolves,16,66,102.9,112.2
2015,29,Philadelphia 76ers,18,64,95.5,104.8
2015,30,New York Knicks,17,65,99.9,110
2016,1,Golden State Warriors*,73,9,114.5,103.8
2016,2,San Antonio Spurs*,67,15,110.3,99
2016,3,Oklahoma City Thunder*,55,27,113.1,105.6
2016,4,Cleveland Cavaliers*,57,25,110.9,104.5
2016,5,Los Angeles Clippers*,53,29,108.3,103.8
2016,6,Toronto Raptors*,56,26,110,105.2
2016,7,Atlanta Hawks*,48,34,105.1,101.4
2016,8,Boston Celtics*,48,34,106.8,103.6
2016,9,Charlotte Hornets*,48,34,107.1,104.3
2016,10,Utah Jazz,40,42,105.9,103.9
2016,11,Indiana Pacers*,45,37,104.6,102.9
2016,12,Miami Heat*,48,34,106.1,104.4
2016,13,Portland Trail Blazers*,44,38,108.8,108
2016,14,Detroit Pistons*,44,38,106.1,105.5
2016,15,Houston Rockets*,41,41,108.3,108.1
2016,16,Dallas Mavericks*,42,40,106.7,107
2016,17,Washington Wizards,41,41,105.3,105.8
2016,18,Chicago Bulls,42,40,105,106.5
2016,19,Orlando Magic,35,47,105.1,106.8
2016,20,Memphis Grizzlies*,42,40,105.4,107.8
2016,21,Sacramento Kings,33,49,106,108.4
2016,22,New York Knicks,32,50,104.6,107.6
2016,23,Denver Nuggets,33,49,105.6,108.9
2016,24,Minnesota Timberwolves,29,53,106.5,110.1
2016,25,New Orleans Pelicans,30,52,105.6,109.5
2016,26,Milwaukee Bucks,33,49,104.3,108.7
2016,27,Phoenix Suns,23,59,102.2,109
2016,28,Brooklyn Nets,21,61,103.2,110.9
2016,29,Los Angeles Lakers,17,65,101.6,111.6
2016,30,Philadelphia 76ers,10,72,98.8,109.2
2017,1,Golden State Warriors*,67,15,115.6,104
2017,2,San Antonio Spurs*,61,21,111.1,103.5
2017,3,Houston Rockets*,55,27,114.7,109
2017,4,Los Angeles Clippers*,51,31,112.7,108.2
2017,5,Utah Jazz*,51,31,109.6,105.3
2017,6,Toronto Raptors*,51,31,112.3,107.8
2017,7,Cleveland Cavaliers*,51,31,113.6,110.3
2017,8,Boston Celtics*,53,29,111.2,108.4
2017,9,Washington Wizards*,49,33,111.2,109.3
2017,10,Oklahoma City Thunder*,47,35,108.3,107.5
2017,11,Memphis Grizzlies*,43,39,107.7,107.1
2017,12,Miami Heat,41,41,107.8,106.7
2017,13,Denver Nuggets,40,42,113.2,112.7
2017,14,Chicago Bulls*,41,41,107.4,107
2017,15,Charlotte Hornets,36,46,108.8,108.6
2017,16,Portland Trail Blazers*,41,41,110.3,110.8
2017,17,Milwaukee Bucks*,42,40,109.1,109.3
2017,18,Indiana Pacers*,42,40,108.6,108.8
2017,19,Minnesota Timberwolves,31,51,110.8,112
2017,20,Atlanta Hawks*,43,39,104.9,105.7
2017,21,Detroit Pistons,37,45,106,107.1
2017,22,New Orleans Pelicans,34,48,105.2,107.4
2017,23,Dallas Mavericks,33,49,105.6,108.8
2017,24,Sacramento Kings,32,50,107.3,111.3
2017,25,New York Knicks,31,51,107.7,111.5
2017,26,Phoenix Suns,24,58,106.6,112.2
2017,27,Philadelphia 76ers,28,54,103.2,108.9
2017,28,Los Angeles Lakers,26,56,106,113
2017,29,Orlando Magic,29,53,103.7,110.5
2017,30,Brooklyn Nets,20,62,104.1,110.7
2018,1,Houston Rockets*,65,17,114.7,106.1
2018,2,Toronto Raptors*,59,23,113.8,105.9
2018,3,Golden State Warriors*,58,24,113.6,107.6
2018,4,Utah Jazz*,48,34,108.4,103.9
2018,5,Philadelphia 76ers*,52,30,109.5,105
2018,6,Oklahoma City Thunder*,48,34,110.7,107.2
2018,7,Boston Celtics*,55,27,107.6,103.9
2018,8,San Antonio Spurs*,47,35,107.9,104.8
2018,9,Portland Trail Blazers*,49,33,109.1,106.4
2018,10,Minnesota Timberwolves*,47,35,113.4,111.1
2018,11,Denver Nuggets,46,36,112.5,111
2018,12,New Orleans Pelicans*,48,34,109.6,108.3
2018,13,Indiana Pacers*,48,34,109.5,108.1
2018,14,Cleveland Cavaliers*,50,32,112.9,111.9
2018,15,Washington Wizards*,43,39,109.3,108.7
2018,16,Los Angeles Clippers,42,40,110.3,110.2
2018,17,Miami Heat*,44,38,106.8,106.3
2018,18,Charlotte Hornets,36,46,109.4,109.1
2018,19,Detroit Pistons,39,43,107.2,107.3
2018,20,Milwaukee Bucks*,44,38,109.8,110.1
2018,21,Los Angeles Lakers,35,47,106.5,108
2018,22,Dallas Mavericks,24,58,106.3,109.5
2018,23,New York Knicks,29,53,107.1,110.7
2018,24,Brooklyn Nets,28,54,106.9,110.6
2018,25,Orlando Magic,25,57,105.2,110.1
2018,26,Atlanta Hawks,24,58,105,110.6
2018,27,Memphis Grizzlies,22,60,104.5,111
2018,28,Sacramento Kings,27,55,103.7,111.1
2018,29,Chicago Bulls,27,55,103.8,110.9
2018,30,Phoenix Suns,21,61,103.5,112.8
2019,1,Milwaukee Bucks*,60,22,113.8,105.2
2019,2,Golden State Warriors*,57,25,115.9,109.5
2019,3,Toronto Raptors*,58,24,113.1,107.1
2019,4,Utah Jazz*,50,32,110.9,105.7
2019,5,Houston Rockets*,53,29,115.5,110.7
2019,6,Portland Trail Blazers*,53,29,114.7,110.5
2019,7,Denver Nuggets*,54,28,113,108.9
2019,8,Boston Celtics*,49,33,112.2,107.8
2019,9,Oklahoma City Thunder*,49,33,110.3,107
2019,10,Indiana Pacers*,48,34,109.9,106.5
2019,11,Philadelphia 76ers*,51,31,112.6,110
2019,12,San Antonio Spurs*,48,34,112.9,111.2
2019,13,Los Angeles Clippers*,48,34,112.4,111.5
2019,14,Orlando Magic*,42,40,108.9,108.1
2019,15,Brooklyn Nets*,42,40,109.6,109.7
2019,16,Miami Heat,39,43,107.3,107.6
2019,17,Detroit Pistons*,41,41,109,109.2
2019,18,Sacramento Kings,39,43,110.4,111.5
2019,19,Dallas Mavericks,33,49,109.4,110.7
2019,20,Minnesota Timberwolves,36,46,111.4,112.9
2019,21,New Orleans Pelicans,33,49,111.4,112.6
2019,22,Charlotte Hornets,39,43,111.4,112.5
2019,23,Los Angeles Lakers,37,45,107.8,109.5
2019,24,Memphis Grizzlies,33,49,106.1,108.8
2019,25,Washington Wizards,32,50,111.1,113.9
2019,26,Atlanta Hawks,29,53,108.1,113.9
2019,27,Chicago Bulls,22,60,104.8,113.2
2019,28,Phoenix Suns,19,63,105.9,115.1
2019,29,New York Knicks,17,65,104.5,113.7
2019,30,Cleveland Cavaliers,19,63,107.7,117.6
