Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Boston Celtics,26,16,10,.615,17.9,8.1,109.4,103.3,85.9,.354,.224,.487,12.9,29.5,.277,.463,14.4,74.6,.313
2,Los Angeles Lakers,21,14,7,.667,12.1,8.9,110.0,107.6,92.7,.371,.241,.512,12.7,22.2,.279,.477,12.3,71.1,.255
3,Detroit Pistons,17,10,7,.588,10.0,7.0,108.0,105.2,84.7,.320,.179,.485,13.2,27.7,.257,.478,14.7,68.7,.275
4,San Antonio Spurs,17,9,8,.529,7.9,9.1,103.9,104.8,89.5,.261,.252,.493,12.6,21.4,.194,.486,10.8,77.6,.197
5,New Orleans Hornets,12,7,5,.583,7.6,4.4,111.5,107.3,86.6,.250,.173,.499,8.9,24.2,.193,.483,12.3,73.2,.235
6,Cleveland Cavaliers,13,7,6,.538,7.6,5.4,104.6,102.1,85.9,.395,.262,.465,13.7,29.1,.285,.460,13.4,75.2,.285
7,Utah Jazz,12,6,6,.500,5.9,6.1,110.1,110.4,89.1,.330,.204,.481,12.1,33.4,.247,.490,12.2,73.7,.314
8,Orlando Magic,10,5,5,.500,5.6,4.4,111.0,109.2,87.5,.322,.336,.529,14.4,29.0,.229,.464,8.9,75.0,.226
9,Atlanta Hawks,7,3,4,.429,1.0,6.0,101.6,115.6,85.8,.441,.174,.439,15.7,30.5,.345,.503,10.4,67.3,.206
10,Houston Rockets,6,2,4,.333,2.4,3.6,103.8,106.7,84.8,.333,.254,.446,10.7,29.8,.227,.482,12.4,69.3,.231
11,Philadelphia 76ers,6,2,4,.333,1.5,4.5,99.8,107.9,86.0,.402,.105,.430,14.4,33.9,.290,.523,17.0,67.0,.188
12,Washington Wizards,6,2,4,.333,2.3,3.7,104.9,108.7,87.9,.386,.262,.466,12.3,23.4,.295,.485,13.2,67.8,.265
13,Phoenix Suns,5,1,4,.200,2.2,2.8,104.1,106.1,92.6,.369,.180,.492,11.5,21.9,.235,.493,11.9,76.3,.216
14,Toronto Raptors,5,1,4,.200,1.7,3.3,110.1,115.2,90.3,.224,.280,.484,9.6,23.1,.194,.533,13.3,69.7,.260
15,Dallas Mavericks,5,1,4,.200,1.1,3.9,108.0,118.2,87.0,.381,.264,.447,11.2,31.7,.299,.527,8.4,75.5,.206
16,Denver Nuggets,4,0,4,.000,0.6,3.4,104.3,117.9,97.4,.328,.203,.452,12.5,34.6,.243,.536,10.7,74.1,.240
