Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,.696,14.6,8.4,106.2,102.0,90.3,.427,.264,.525,15.3,24.6,.280,.470,13.8,76.6,.265
2,Dallas Mavericks,23,14,9,.609,14.8,8.2,110.2,105.7,88.9,.350,.188,.481,12.2,29.2,.283,.506,14.2,77.7,.280
3,Detroit Pistons,18,10,8,.556,11.2,6.8,107.9,104.2,84.9,.382,.249,.478,12.0,27.9,.277,.494,14.7,72.6,.225
4,Phoenix Suns,20,10,10,.500,10.8,9.2,113.7,112.5,92.3,.259,.283,.538,11.1,19.0,.216,.507,12.4,69.7,.237
5,Cleveland Cavaliers,13,7,6,.538,5.0,8.0,103.7,107.4,85.8,.322,.172,.465,14.1,30.7,.246,.480,12.6,72.1,.284
6,San Antonio Spurs,13,7,6,.538,7.5,5.5,114.0,111.6,88.3,.420,.207,.533,13.2,22.6,.326,.486,12.0,71.1,.312
7,Los Angeles Clippers,12,7,5,.583,7.5,4.5,111.6,107.7,93.1,.331,.148,.519,14.3,28.6,.270,.479,10.2,75.9,.216
8,New Jersey Nets,11,5,6,.455,5.1,5.9,106.5,107.6,88.4,.351,.230,.487,12.7,24.9,.267,.517,15.0,77.6,.313
9,Los Angeles Lakers,7,3,4,.429,2.0,5.0,106.5,113.6,91.7,.284,.258,.497,13.8,26.8,.216,.543,11.5,84.7,.251
10,Sacramento Kings,6,2,4,.333,1.3,4.7,108.8,119.5,87.9,.369,.200,.477,12.5,29.0,.292,.566,13.3,75.0,.296
11,Chicago Bulls,6,2,4,.333,2.4,3.6,104.2,107.4,94.4,.397,.260,.497,15.0,21.6,.295,.514,14.7,73.2,.261
12,Washington Wizards,6,2,4,.333,3.0,3.0,109.4,109.2,89.8,.424,.244,.488,12.1,26.7,.316,.489,14.1,68.3,.268
13,Indiana Pacers,6,2,4,.333,2.2,3.8,103.2,107.5,86.5,.386,.277,.491,16.1,23.1,.289,.479,12.0,73.4,.279
14,Milwaukee Bucks,5,1,4,.200,1.1,3.9,110.2,121.1,88.5,.267,.155,.504,12.8,26.6,.209,.544,10.5,70.6,.338
15,Denver Nuggets,5,1,4,.200,1.2,3.8,95.0,103.2,92.0,.308,.159,.397,10.8,29.2,.224,.493,16.8,76.8,.297
16,Memphis Grizzlies,4,0,4,.000,0.4,3.6,99.0,115.5,82.9,.425,.180,.479,16.9,22.0,.308,.487,12.5,65.4,.306
