Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,21,16,5,.762,15.8,5.2,108.7,100.5,93.7,.263,.362,.521,13.5,26.2,.184,.458,13.1,75.3,.228
2,Cleveland Cavaliers,20,14,6,.700,12.8,7.2,107.4,103.1,90.7,.325,.347,.479,12.0,28.1,.240,.467,11.1,77.5,.209
3,Houston Rockets,17,9,8,.529,7.2,9.8,106.6,109.0,101.5,.440,.330,.505,13.5,23.8,.288,.514,12.5,74.4,.210
4,Atlanta Hawks,16,8,8,.500,7.9,8.1,103.4,103.6,93.5,.227,.335,.484,11.9,21.6,.178,.486,12.9,74.7,.184
5,Los Angeles Clippers,14,7,7,.500,7.6,6.4,108.4,107.1,98.7,.361,.300,.515,11.8,21.3,.241,.505,12.5,75.0,.250
6,Washington Wizards,10,6,4,.600,6.3,3.7,105.8,101.7,94.6,.280,.276,.497,13.3,26.8,.202,.470,12.2,77.2,.177
7,Chicago Bulls,12,6,6,.500,7.5,4.5,104.4,100.7,90.4,.257,.294,.474,13.1,26.8,.199,.452,11.8,74.3,.198
8,Memphis Grizzlies,11,6,5,.545,5.0,6.0,103.0,104.4,91.9,.270,.166,.451,10.5,23.7,.225,.501,14.1,77.2,.192
9,San Antonio Spurs,7,3,4,.429,3.6,3.4,107.8,107.3,94.5,.298,.307,.505,11.2,24.8,.203,.509,11.5,78.6,.224
10,Milwaukee Bucks,6,2,4,.333,0.8,5.2,91.8,104.6,93.1,.236,.206,.419,11.9,23.9,.166,.504,15.7,73.5,.200
11,Brooklyn Nets,6,2,4,.333,1.9,4.1,100.8,106.5,94.0,.251,.289,.486,13.4,21.0,.186,.505,12.3,77.8,.161
12,Portland Trail Blazers,5,1,4,.200,1.4,3.6,101.9,109.3,92.0,.258,.313,.455,11.1,22.2,.213,.465,7.9,78.1,.254
13,Dallas Mavericks,5,1,4,.200,1.9,3.1,107.9,112.0,101.9,.274,.265,.493,12.1,28.1,.209,.520,12.4,75.1,.291
14,Boston Celtics,4,0,4,.000,0.9,3.1,101.5,111.5,93.3,.308,.260,.453,12.6,22.2,.239,.498,11.8,71.9,.303
15,New Orleans Pelicans,4,0,4,.000,1.0,3.0,106.8,115.2,92.0,.264,.252,.491,12.6,24.9,.214,.516,11.0,69.1,.211
16,Toronto Raptors,4,0,4,.000,0.5,3.5,99.3,113.7,94.5,.241,.283,.459,10.9,19.0,.173,.547,13.3,73.0,.250
