Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,19,15,4,.789,12.1,6.9,106.4,102.3,91.5,.349,.224,.482,12.9,29.1,.252,.455,12.1,72.9,.231
2,New Jersey Nets,20,11,9,.550,10.0,10.0,102.3,102.3,92.3,.324,.176,.457,13.0,27.5,.235,.472,14.5,72.3,.277
3,Sacramento Kings,16,10,6,.625,9.3,6.7,106.3,103.9,93.9,.363,.196,.478,13.4,29.4,.269,.460,12.9,69.6,.222
4,Boston Celtics,16,9,7,.563,9.7,6.3,101.5,98.4,89.9,.292,.292,.469,13.8,25.0,.226,.450,14.3,75.1,.253
5,Detroit Pistons,10,4,6,.400,4.8,5.2,96.1,96.5,86.4,.304,.307,.454,14.9,22.9,.220,.446,15.5,72.1,.202
6,Dallas Mavericks,8,4,4,.500,4.1,3.9,111.7,111.4,96.4,.287,.251,.499,11.2,24.2,.240,.493,12.9,67.6,.288
7,Charlotte Hornets,9,4,5,.444,4.5,4.5,103.9,103.9,90.4,.399,.151,.449,13.4,33.2,.289,.454,12.4,73.4,.291
8,San Antonio Spurs,10,4,6,.400,6.2,3.8,106.2,102.7,85.8,.349,.193,.465,11.2,26.6,.266,.466,11.4,72.4,.175
9,Indiana Pacers,5,2,3,.400,2.5,2.5,97.1,96.9,90.6,.297,.155,.489,17.5,21.5,.226,.448,13.7,75.8,.205
10,Seattle Supersonics,5,2,3,.400,0.9,4.1,101.7,113.8,84.7,.239,.153,.460,10.8,26.6,.163,.503,10.0,72.7,.263
11,Philadelphia 76ers,5,2,3,.400,1.1,3.9,102.1,112.2,87.2,.435,.177,.440,14.1,29.9,.329,.541,13.8,76.5,.184
12,Toronto Raptors,5,2,3,.400,1.9,3.1,97.8,101.1,85.7,.267,.137,.444,15.6,32.1,.197,.468,15.4,74.3,.281
13,Orlando Magic,4,1,3,.250,1.3,2.7,101.2,106.6,88.1,.395,.210,.451,11.5,20.8,.293,.445,12.8,65.9,.310
14,Utah Jazz,4,1,3,.250,1.8,2.2,98.6,99.8,89.2,.340,.145,.437,15.3,33.7,.233,.436,16.6,69.1,.336
15,Portland Trail Blazers,3,0,3,.000,0.9,2.1,99.3,105.1,92.0,.337,.220,.423,13.5,26.9,.268,.487,13.0,77.4,.327
16,Minnesota Timberwolves,3,0,3,.000,0.6,2.4,105.5,116.6,96.6,.428,.156,.475,14.0,30.3,.309,.521,9.9,80.8,.277
