Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Chicago Bulls,18,15,3,.833,15.0,3.0,111.5,99.4,86.8,.351,.253,.481,13.5,39.1,.259,.480,18.1,72.6,.267
2,Seattle Supersonics,21,13,8,.619,11.6,9.4,105.7,104.1,88.2,.389,.270,.521,17.7,26.0,.294,.471,14.6,69.1,.255
3,Utah Jazz,18,10,8,.556,13.8,4.2,109.7,100.8,85.8,.356,.169,.505,13.2,29.3,.252,.478,16.9,72.5,.308
4,Orlando Magic,12,7,5,.583,6.7,5.3,114.5,112.7,85.8,.356,.238,.540,13.1,33.3,.209,.512,13.2,66.0,.263
5,San Antonio Spurs,10,5,5,.500,4.1,5.9,108.5,111.5,86.8,.377,.159,.507,13.9,28.8,.268,.498,12.4,67.9,.203
6,New York Knicks,8,4,4,.500,4.0,4.0,102.4,102.3,85.4,.379,.233,.508,18.0,24.0,.264,.447,13.3,65.6,.201
7,Atlanta Hawks,10,4,6,.400,3.5,6.5,107.9,112.9,85.0,.322,.272,.494,13.9,31.0,.236,.512,14.6,61.0,.226
8,Houston Rockets,8,3,5,.375,2.7,5.3,103.2,108.4,93.5,.287,.278,.488,12.9,21.0,.211,.522,14.7,73.0,.222
9,Portland Trail Blazers,5,2,3,.400,0.9,4.1,101.6,112.9,86.4,.445,.224,.436,13.2,31.4,.294,.501,11.3,70.9,.332
10,Indiana Pacers,5,2,3,.400,2.3,2.7,102.5,103.7,83.1,.332,.155,.463,18.1,38.0,.255,.476,15.6,65.6,.202
11,Phoenix Suns,4,1,3,.250,0.7,3.3,109.1,121.3,90.5,.305,.151,.458,10.1,31.5,.233,.567,10.9,70.6,.212
12,Sacramento Kings,4,1,3,.250,1.1,2.9,96.0,102.6,91.4,.385,.216,.463,18.4,31.6,.260,.497,16.5,76.9,.304
13,Los Angeles Lakers,4,1,3,.250,1.7,2.3,101.4,103.6,93.4,.286,.280,.468,14.7,28.3,.216,.500,11.3,83.2,.194
14,Miami Heat,3,0,3,.000,0.1,2.9,92.6,118.0,90.4,.310,.324,.472,20.4,27.6,.218,.551,15.0,64.3,.308
15,Detroit Pistons,3,0,3,.000,0.4,2.6,107.6,122.9,82.7,.343,.231,.488,13.9,31.6,.259,.573,11.7,67.6,.241
16,Cleveland Cavaliers,3,0,3,.000,0.4,2.6,98.5,111.7,80.9,.203,.284,.459,14.2,29.4,.158,.572,16.1,76.0,.204
