Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,21,16,5,.762,16.6,4.4,113.9,103.6,96.5,.237,.365,.545,11.9,21.8,.195,.481,12.3,77.6,.186
2,Cleveland Cavaliers,22,12,10,.545,9.7,12.3,109.4,111.2,91.6,.282,.370,.512,12.1,23.5,.212,.529,11.5,79.4,.195
3,Boston Celtics,19,11,8,.579,10.0,9.0,107.7,107.0,93.1,.283,.367,.500,11.1,20.4,.217,.518,12.9,79.5,.202
4,Houston Rockets,17,11,6,.647,9.5,7.5,109.6,107.7,95.7,.261,.466,.514,11.3,20.0,.201,.530,13.2,80.1,.188
5,Utah Jazz,11,5,6,.455,4.7,6.3,104.7,106.9,97.8,.284,.361,.520,14.3,20.8,.195,.505,11.6,80.8,.196
6,Philadelphia 76ers,10,5,5,.500,6.3,3.7,110.4,106.5,97.5,.320,.331,.493,12.6,29.1,.243,.514,12.7,80.8,.232
7,New Orleans Pelicans,9,5,4,.556,4.3,4.7,107.1,107.8,102.7,.204,.301,.533,12.9,17.7,.160,.514,12.0,78.8,.169
8,Toronto Raptors,10,4,6,.400,3.6,6.4,112.0,116.6,94.8,.290,.324,.536,13.1,23.2,.232,.541,10.5,79.1,.217
9,Milwaukee Bucks,7,3,4,.429,3.4,3.6,108.8,109.4,92.3,.254,.328,.561,13.1,14.7,.179,.503,12.1,75.5,.219
10,Indiana Pacers,7,3,4,.429,4.9,2.1,110.9,104.6,90.7,.241,.339,.542,12.9,21.6,.171,.503,14.3,77.7,.238
11,Oklahoma City Thunder,6,2,4,.333,2.1,3.9,103.5,107.9,97.8,.245,.333,.490,12.7,20.8,.189,.521,13.7,75.4,.212
12,Washington Wizards,6,2,4,.333,2.6,3.4,110.3,112.3,97.2,.274,.256,.513,12.4,21.2,.233,.539,13.1,78.1,.239
13,Minnesota Timberwolves,5,1,4,.200,1.2,3.8,107.0,116.2,95.0,.276,.264,.515,12.0,20.1,.201,.531,7.9,80.3,.193
14,Miami Heat,5,1,4,.200,1.0,4.0,103.0,113.7,100.4,.345,.333,.507,14.4,20.7,.234,.514,13.6,70.4,.279
15,San Antonio Spurs,5,1,4,.200,1.1,3.9,103.7,113.1,93.3,.274,.337,.463,10.5,18.5,.229,.535,12.9,73.7,.205
16,Portland Trail Blazers,4,0,4,.000,1.0,3.0,106.9,116.0,98.7,.173,.354,.512,12.9,23.9,.135,.582,13.0,81.1,.203
