Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,16,7,.696,14.5,8.5,112.8,108.6,89.6,.320,.255,.502,11.9,30.9,.241,.475,12.0,72.4,.277
2,Boston Celtics,24,15,9,.625,14.5,9.5,104.8,101.7,89.2,.341,.211,.491,13.8,23.1,.258,.473,15.2,74.6,.285
3,Phoenix Suns,16,10,6,.625,10.4,5.6,117.8,112.7,90.9,.353,.307,.536,12.0,27.4,.273,.512,11.1,72.6,.242
4,Orlando Magic,14,10,4,.714,11.0,3.0,110.8,100.9,86.5,.426,.380,.533,14.0,24.8,.299,.458,13.6,77.3,.269
5,Cleveland Cavaliers,11,6,5,.545,6.0,5.0,108.2,106.8,92.6,.420,.277,.517,14.5,22.1,.311,.481,11.0,75.7,.240
6,Atlanta Hawks,11,4,7,.364,2.9,8.1,104.3,112.2,85.8,.276,.171,.453,11.6,29.8,.217,.515,12.3,72.4,.224
7,San Antonio Spurs,10,4,6,.400,3.8,6.2,105.7,109.4,90.9,.339,.181,.494,12.3,24.0,.236,.499,12.7,73.6,.245
8,Utah Jazz,10,4,6,.400,4.3,5.7,114.0,116.4,93.9,.421,.219,.520,12.3,26.5,.307,.522,12.1,71.0,.327
9,Milwaukee Bucks,7,3,4,.429,2.5,4.5,105.0,109.3,85.7,.250,.268,.465,12.3,27.9,.201,.482,11.9,66.9,.201
10,Denver Nuggets,6,2,4,.333,2.8,3.2,113.9,115.1,96.0,.469,.231,.517,12.6,25.8,.359,.548,13.5,76.9,.357
11,Oklahoma City Thunder,6,2,4,.333,2.6,3.4,103.6,105.4,90.6,.412,.236,.426,11.9,26.7,.344,.488,12.4,73.6,.196
12,Dallas Mavericks,6,2,4,.333,2.9,3.1,105.1,105.6,88.4,.294,.244,.468,12.7,28.1,.233,.486,12.3,74.0,.224
13,Portland Trail Blazers,6,2,4,.333,1.1,4.9,106.5,118.3,87.3,.364,.217,.471,11.0,26.5,.269,.536,12.4,71.0,.247
14,Chicago Bulls,5,1,4,.200,1.1,3.9,105.0,115.0,92.4,.265,.125,.457,9.4,25.0,.211,.558,13.2,77.0,.249
15,Miami Heat,5,1,4,.200,1.1,3.9,96.2,105.2,91.1,.241,.236,.479,17.3,22.6,.176,.523,15.6,79.2,.266
16,Charlotte Bobcats,4,0,4,.000,0.8,3.2,100.2,111.0,85.4,.362,.241,.477,15.9,23.0,.259,.522,13.3,75.2,.335
