Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,23,16,7,.696,15.1,7.9,110.0,105.1,87.3,.367,.240,.500,14.1,31.1,.267,.471,12.1,71.4,.218
2,Detroit Pistons,25,15,10,.600,17.0,8.0,105.0,99.5,85.3,.286,.176,.466,12.1,29.8,.212,.470,14.5,74.8,.219
3,Miami Heat,15,11,4,.733,9.8,5.2,107.2,102.5,90.2,.409,.211,.533,15.1,22.5,.273,.449,11.2,73.1,.241
4,Phoenix Suns,15,9,6,.600,9.5,5.5,118.2,113.8,94.1,.304,.233,.544,11.8,29.2,.233,.508,11.0,68.4,.190
5,Seattle Supersonics,11,6,5,.545,4.8,6.2,111.1,113.0,88.7,.369,.203,.489,13.3,33.3,.295,.493,12.6,69.2,.286
6,Dallas Mavericks,13,6,7,.462,5.8,7.2,113.3,115.0,92.1,.338,.207,.492,12.0,32.5,.266,.525,13.0,70.1,.251
7,Indiana Pacers,13,6,7,.462,5.0,8.0,97.7,101.1,85.3,.361,.243,.434,15.1,26.4,.283,.463,14.4,71.6,.235
8,Washington Wizards,10,4,6,.400,4.1,5.9,105.6,108.2,95.1,.409,.228,.459,12.3,28.9,.298,.505,14.6,70.5,.260
9,Houston Rockets,7,3,4,.429,2.8,4.2,111.7,114.9,87.3,.344,.236,.513,14.2,27.8,.272,.498,12.9,66.8,.316
10,Boston Celtics,7,3,4,.429,3.3,3.7,100.6,101.3,85.9,.306,.200,.475,15.4,26.2,.231,.444,15.6,73.6,.359
11,Chicago Bulls,6,2,4,.333,2.6,3.4,106.3,108.2,96.4,.368,.274,.472,13.4,30.0,.266,.472,12.6,70.3,.321
12,Philadelphia 76ers,5,1,4,.200,1.2,3.8,101.2,110.1,87.9,.256,.244,.479,12.6,23.1,.183,.512,15.7,69.6,.260
13,Sacramento Kings,5,1,4,.200,1.8,3.2,113.0,117.9,90.4,.285,.241,.479,10.3,30.4,.227,.508,12.9,63.9,.338
14,Denver Nuggets,5,1,4,.200,0.9,4.1,97.4,108.5,90.7,.387,.107,.431,12.4,23.1,.285,.487,13.4,73.4,.316
15,Memphis Grizzlies,4,0,4,.000,0.8,3.2,112.0,124.0,91.7,.194,.225,.517,10.1,26.6,.137,.570,10.6,72.5,.301
16,New Jersey Nets,4,0,4,.000,0.6,3.4,100.6,113.9,91.4,.369,.254,.432,11.7,26.5,.277,.570,14.7,77.3,.316
