Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,15,8,.652,13.4,9.6,110.1,107.5,90.3,.393,.192,.498,11.4,30.6,.245,.476,12.1,73.7,.289
2,Indiana Pacers,23,13,10,.565,13.7,9.3,109.7,106.8,89.0,.322,.239,.488,11.4,25.1,.267,.481,11.2,73.0,.220
3,Portland Trail Blazers,16,10,6,.625,10.8,5.2,107.7,102.2,85.9,.386,.200,.481,12.9,25.9,.303,.478,13.4,75.0,.248
4,New York Knicks,16,9,7,.563,7.3,8.7,99.8,101.1,84.0,.318,.158,.462,12.5,20.3,.243,.442,12.5,73.3,.250
5,Miami Heat,10,6,4,.600,6.1,3.9,97.4,94.4,84.6,.328,.202,.451,14.1,25.7,.227,.431,13.5,80.8,.269
6,Philadelphia 76ers,10,5,5,.500,4.5,5.5,106.5,108.0,87.5,.369,.154,.452,12.0,31.2,.274,.490,13.1,72.4,.256
7,Phoenix Suns,9,4,5,.444,3.2,5.8,96.6,100.6,90.5,.274,.204,.435,14.3,30.3,.192,.436,13.3,68.9,.305
8,Utah Jazz,10,4,6,.400,3.2,6.8,100.6,106.2,87.8,.318,.165,.475,14.9,26.4,.235,.483,13.9,72.1,.264
9,Milwaukee Bucks,5,2,3,.400,2.8,2.2,107.5,105.5,89.3,.266,.140,.479,11.3,28.5,.203,.446,11.0,70.4,.262
10,Sacramento Kings,5,2,3,.400,1.2,3.8,105.0,113.7,91.8,.370,.215,.456,11.3,26.3,.279,.488,10.0,62.0,.195
11,Seattle Supersonics,5,2,3,.400,2.3,2.7,104.5,105.8,89.2,.291,.206,.481,14.0,28.7,.209,.508,15.5,71.9,.214
12,Minnesota Timberwolves,4,1,3,.250,1.7,2.3,103.4,105.8,82.5,.229,.127,.467,12.2,27.9,.180,.476,13.5,73.9,.265
13,San Antonio Spurs,4,1,3,.250,1.8,2.2,90.0,91.4,90.8,.401,.145,.391,15.4,26.5,.293,.421,14.5,70.8,.149
14,Charlotte Hornets,4,1,3,.250,1.6,2.4,104.6,107.8,85.0,.360,.200,.460,15.1,32.9,.297,.466,12.3,70.1,.244
15,Detroit Pistons,3,0,3,.000,0.5,2.5,88.7,100.2,89.8,.389,.168,.435,17.3,15.4,.279,.512,17.1,77.3,.233
16,Toronto Raptors,3,0,3,.000,1.0,2.0,97.3,101.9,86.0,.419,.212,.403,14.1,30.7,.324,.493,16.7,79.5,.323
