Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Golden State Warriors,17,16,1,.941,14.3,2.7,119.0,105.5,100.3,.292,.378,.567,12.2,22.4,.238,.487,12.3,76.6,.212
2,Cleveland Cavaliers,18,13,5,.722,13.1,4.9,120.3,112.1,96.6,.316,.408,.579,12.1,23.6,.242,.521,11.9,76.1,.189
3,Boston Celtics,18,9,9,.500,7.3,10.7,111.4,114.5,93.9,.242,.410,.532,12.6,22.2,.187,.531,13.1,71.5,.227
4,San Antonio Spurs,16,8,8,.500,8.5,7.5,113.4,112.3,93.2,.277,.282,.512,11.6,29.1,.214,.539,13.1,78.5,.208
5,Washington Wizards,13,7,6,.538,6.5,6.5,110.9,110.9,96.7,.281,.302,.505,12.3,26.6,.223,.525,13.3,76.2,.244
6,Houston Rockets,11,6,5,.545,5.9,5.1,110.7,109.5,96.4,.304,.452,.514,12.7,22.7,.240,.502,11.1,71.7,.187
7,Utah Jazz,11,4,7,.364,3.7,7.3,106.2,111.3,92.1,.298,.331,.515,12.0,16.7,.218,.533,11.4,81.3,.224
8,Toronto Raptors,10,4,6,.400,3.1,6.9,103.8,109.9,93.1,.283,.296,.493,12.6,17.3,.230,.539,13.2,81.3,.222
9,Los Angeles Clippers,7,3,4,.429,3.2,3.8,108.8,110.0,89.8,.312,.304,.526,12.2,19.9,.217,.542,12.4,82.1,.223
10,Milwaukee Bucks,6,2,4,.333,2.9,3.1,103.0,103.7,90.5,.267,.277,.503,13.2,19.1,.186,.494,14.4,80.6,.279
11,Memphis Grizzlies,6,2,4,.333,1.4,4.6,110.3,119.8,85.8,.263,.313,.510,11.6,20.3,.229,.545,11.4,73.9,.266
12,Chicago Bulls,6,2,4,.333,1.7,4.3,104.8,112.2,92.1,.240,.285,.483,14.4,29.6,.204,.534,11.8,78.5,.163
13,Atlanta Hawks,6,2,4,.333,2.8,3.2,107.3,108.5,98.4,.343,.323,.493,14.1,26.4,.262,.502,11.8,77.3,.227
14,Oklahoma City Thunder,5,1,4,.200,1.2,3.8,105.7,114.4,98.6,.309,.309,.490,11.4,26.0,.213,.513,13.1,74.8,.320
15,Portland Trail Blazers,4,0,4,.000,0.4,3.6,99.3,116.9,102.3,.271,.380,.458,13.2,20.6,.218,.556,11.1,81.0,.258
16,Indiana Pacers,4,0,4,.000,1.5,2.5,114.7,118.9,94.8,.247,.330,.530,12.1,28.3,.190,.565,11.9,75.2,.233
