Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,.696,16.6,6.4,110.2,102.9,87.3,.303,.264,.518,13.1,25.2,.232,.480,15.6,71.1,.237
2,San Antonio Spurs,21,15,6,.714,15.4,5.6,108.7,101.1,89.6,.261,.253,.511,12.3,23.3,.199,.475,12.8,73.8,.162
3,Indiana Pacers,19,11,8,.579,9.6,9.4,104.5,104.4,87.3,.384,.258,.475,15.9,32.4,.284,.473,11.4,76.8,.222
4,Memphis Grizzlies,15,8,7,.533,7.8,7.2,105.0,104.3,88.4,.357,.182,.447,10.2,27.2,.267,.493,13.8,77.5,.219
5,New York Knicks,12,6,6,.500,7.3,4.7,101.4,98.3,86.6,.222,.288,.460,11.5,24.2,.174,.470,17.1,76.5,.276
6,Golden State Warriors,12,6,6,.500,6.1,5.9,106.4,106.2,94.0,.258,.265,.513,14.9,27.5,.190,.483,11.9,75.0,.234
7,Oklahoma City Thunder,11,5,6,.455,6.0,5.0,105.1,103.7,92.8,.295,.303,.479,12.9,23.0,.247,.468,12.5,76.0,.254
8,Chicago Bulls,12,5,7,.417,3.3,8.7,102.5,110.0,87.4,.287,.213,.472,13.7,28.4,.206,.501,11.9,74.5,.255
9,Brooklyn Nets,7,3,4,.429,4.0,3.0,107.8,105.6,88.3,.304,.232,.479,10.9,27.4,.230,.497,12.4,74.0,.171
10,Los Angeles Clippers,6,2,4,.333,1.9,4.1,107.5,113.8,88.0,.314,.254,.506,13.5,24.3,.246,.486,10.2,73.3,.344
11,Houston Rockets,6,2,4,.333,1.9,4.1,105.3,111.4,95.0,.342,.416,.496,14.5,24.8,.243,.511,12.0,77.2,.258
12,Denver Nuggets,6,2,4,.333,2.2,3.8,105.9,110.2,97.2,.350,.265,.479,12.9,26.3,.255,.554,17.0,72.9,.209
13,Boston Celtics,6,2,4,.333,1.8,4.2,92.9,98.9,87.1,.312,.300,.463,18.1,14.0,.268,.462,12.7,76.3,.170
14,Atlanta Hawks,6,2,4,.333,1.9,4.1,98.0,103.6,91.2,.338,.241,.462,12.0,18.6,.231,.455,14.4,70.0,.284
15,Los Angeles Lakers,4,0,4,.000,0.2,3.8,92.5,112.9,92.1,.237,.237,.474,16.1,20.2,.144,.527,9.8,78.3,.185
16,Milwaukee Bucks,4,0,4,.000,0.4,3.6,94.0,110.3,90.7,.264,.300,.472,15.9,21.1,.166,.544,16.5,70.7,.255
