Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Chicago Bulls,21,15,6,.714,15.7,5.3,109.7,101.4,84.1,.367,.169,.472,12.4,34.3,.269,.476,15.6,72.4,.242
2,Utah Jazz,20,13,7,.650,11.7,8.3,102.8,100.4,85.6,.347,.127,.477,14.5,25.6,.258,.441,13.0,71.1,.282
3,Indiana Pacers,16,10,6,.625,9.4,6.6,107.0,104.4,85.2,.422,.208,.499,15.1,25.6,.321,.467,15.3,67.4,.296
4,Los Angeles Lakers,13,7,6,.538,7.1,5.9,113.3,111.9,88.4,.471,.233,.514,12.5,33.1,.306,.501,13.7,68.3,.276
5,Charlotte Hornets,9,4,5,.444,2.5,6.5,99.0,106.2,83.6,.261,.152,.479,14.8,23.8,.178,.480,12.6,69.2,.222
6,Seattle Supersonics,10,4,6,.400,4.1,5.9,111.4,114.3,85.4,.295,.245,.497,12.6,32.3,.222,.516,13.7,64.3,.233
7,San Antonio Spurs,9,4,5,.444,5.6,3.4,105.1,101.4,86.3,.427,.179,.489,14.4,28.3,.294,.453,10.7,74.9,.200
8,New York Knicks,10,4,6,.400,4.1,5.9,101.1,103.6,86.7,.335,.184,.472,16.0,26.9,.256,.481,14.2,77.0,.319
9,Minnesota Timberwolves,5,2,3,.400,1.5,3.5,104.6,111.4,86.2,.256,.246,.462,13.6,31.5,.206,.512,13.8,69.4,.230
10,Miami Heat,5,2,3,.400,2.1,2.9,101.8,104.3,85.9,.425,.287,.483,14.1,21.1,.290,.465,14.7,71.9,.321
11,Houston Rockets,5,2,3,.400,1.3,3.7,95.5,103.2,88.6,.395,.247,.416,12.8,24.7,.289,.480,13.5,76.5,.283
12,Phoenix Suns,4,1,3,.250,1.0,3.0,101.8,110.0,91.4,.249,.150,.459,10.4,26.1,.173,.530,14.0,73.5,.289
13,Portland Trail Blazers,4,1,3,.250,1.4,2.6,109.4,114.1,91.2,.358,.192,.489,15.0,33.5,.277,.531,11.5,74.0,.363
14,Cleveland Cavaliers,4,1,3,.250,0.8,3.2,97.6,107.3,82.7,.573,.098,.449,19.2,30.3,.415,.514,15.7,74.2,.257
15,Atlanta Hawks,4,1,3,.250,2.2,1.8,104.7,102.9,83.6,.305,.247,.495,13.3,28.8,.209,.511,14.3,78.4,.190
16,New Jersey Nets,3,0,3,.000,0.8,2.2,107.3,116.0,85.5,.314,.093,.485,13.0,33.3,.237,.515,13.4,64.3,.275
