Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,24,16,8,.667,16.7,7.3,103.7,97.7,91.0,.399,.198,.476,14.4,28.6,.284,.439,14.0,73.4,.216
2,New Jersey Nets,20,14,6,.700,12.5,7.5,102.6,98.9,89.9,.336,.165,.453,14.1,30.9,.256,.464,14.8,76.7,.252
3,Dallas Mavericks,20,10,10,.500,9.6,10.4,110.5,111.1,93.2,.245,.269,.503,11.6,25.0,.203,.494,12.5,70.4,.286
4,Detroit Pistons,17,8,9,.471,9.1,7.9,102.7,101.7,86.5,.416,.258,.455,13.3,25.5,.308,.459,14.8,70.6,.253
5,Sacramento Kings,12,7,5,.583,6.9,5.1,112.0,109.6,94.7,.341,.215,.499,12.0,29.3,.265,.495,12.7,70.7,.216
6,Philadelphia 76ers,12,6,6,.500,6.4,5.6,105.8,104.8,85.6,.345,.141,.468,14.5,31.3,.277,.473,13.8,72.3,.268
7,Los Angeles Lakers,12,6,6,.500,6.1,5.9,107.1,106.9,92.8,.313,.240,.491,12.7,27.9,.222,.500,13.1,76.2,.251
8,Boston Celtics,10,4,6,.400,4.8,5.2,101.4,102.1,90.4,.303,.307,.477,14.2,20.8,.243,.449,14.0,73.0,.311
9,Portland Trail Blazers,7,3,4,.429,3.7,3.3,115.2,114.1,87.9,.373,.215,.501,13.0,36.3,.280,.507,11.1,72.7,.228
10,Orlando Magic,7,3,4,.429,1.7,5.3,99.5,107.8,88.0,.357,.223,.459,15.3,24.7,.279,.462,13.0,69.2,.328
11,Phoenix Suns,6,2,4,.333,1.8,4.2,91.5,97.3,91.4,.265,.187,.414,14.8,27.8,.189,.438,16.8,67.4,.302
12,New Orleans Hornets,6,2,4,.333,2.6,3.4,106.4,108.3,87.2,.328,.222,.479,14.2,31.5,.244,.471,14.0,68.5,.306
13,Minnesota Timberwolves,6,2,4,.333,1.8,4.2,104.2,110.8,94.8,.319,.173,.492,14.6,22.6,.257,.498,10.7,70.9,.211
14,Milwaukee Bucks,6,2,4,.333,2.1,3.9,105.8,110.5,90.9,.312,.214,.499,12.9,21.0,.233,.494,14.7,65.3,.306
15,Indiana Pacers,6,2,4,.333,1.8,4.2,100.9,107.1,88.8,.418,.227,.422,13.3,29.4,.330,.492,12.3,79.2,.251
16,Utah Jazz,5,1,4,.200,0.9,4.1,104.2,116.1,89.2,.386,.087,.446,15.3,35.4,.303,.516,12.9,65.3,.272
