Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,17,15,2,.882,13.1,3.9,103.6,95.1,85.4,.406,.168,.480,14.7,26.1,.301,.417,13.0,71.8,.213
2,New York Knicks,20,12,8,.600,11.7,8.3,100.1,97.8,84.9,.322,.154,.451,12.9,25.8,.244,.437,14.3,74.9,.289
3,Indiana Pacers,13,9,4,.692,8.2,4.8,107.1,103.0,86.7,.380,.242,.485,15.0,30.4,.290,.453,12.5,71.6,.259
4,Portland Trail Blazers,13,7,6,.538,6.3,6.7,102.1,102.6,84.4,.452,.160,.451,13.7,25.9,.340,.463,13.5,73.9,.270
5,Utah Jazz,11,5,6,.455,6.3,4.7,101.4,99.3,86.3,.377,.128,.451,14.3,28.0,.287,.435,13.9,73.5,.312
6,Atlanta Hawks,9,3,6,.333,3.4,5.6,97.2,100.6,82.0,.310,.206,.415,13.6,29.8,.238,.461,13.4,71.6,.192
7,Philadelphia 76ers,8,3,5,.375,4.2,3.8,103.9,103.3,85.9,.298,.128,.437,12.2,37.5,.213,.451,15.8,66.3,.299
8,Los Angeles Lakers,8,3,5,.375,3.2,4.8,103.4,106.6,90.9,.367,.196,.473,12.4,27.2,.235,.481,14.0,71.7,.317
9,Sacramento Kings,5,2,3,.400,1.6,3.4,97.8,103.0,88.9,.332,.279,.446,16.2,29.2,.246,.460,14.7,68.4,.250
10,Detroit Pistons,5,2,3,.400,1.9,3.1,100.2,104.0,79.1,.192,.125,.452,12.5,29.9,.152,.484,14.9,70.6,.202
11,Miami Heat,5,2,3,.400,1.7,3.3,98.4,103.4,80.3,.397,.274,.441,12.9,21.9,.279,.471,13.4,71.0,.225
12,Minnesota Timberwolves,4,1,3,.250,1.0,3.0,95.2,102.6,84.6,.226,.099,.412,13.4,32.2,.173,.459,12.6,73.1,.275
13,Orlando Magic,4,1,3,.250,1.1,2.9,98.8,105.9,87.3,.437,.295,.422,17.2,33.7,.325,.452,14.4,58.1,.245
14,Houston Rockets,4,1,3,.250,1.7,2.3,106.8,109.3,90.8,.351,.262,.463,12.0,30.8,.268,.508,11.5,74.7,.217
15,Milwaukee Bucks,3,0,3,.000,0.6,2.4,104.4,115.7,88.2,.391,.187,.484,15.7,27.0,.302,.508,15.0,65.3,.310
16,Phoenix Suns,3,0,3,.000,0.6,2.4,101.7,113.1,90.8,.269,.231,.473,13.2,24.0,.198,.558,17.3,74.7,.432
