Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,16,15,1,.938,13.8,2.2,111.6,97.9,92.0,.375,.194,.505,12.8,33.0,.254,.433,13.1,74.1,.249
2,Philadelphia 76ers,23,12,11,.522,11.4,11.6,105.7,105.8,87.0,.332,.141,.445,11.8,32.7,.253,.486,13.3,71.5,.201
3,Milwaukee Bucks,18,10,8,.556,9.9,8.1,107.8,106.2,88.3,.294,.218,.476,12.5,30.4,.235,.447,10.8,68.8,.242
4,San Antonio Spurs,13,7,6,.538,6.3,6.7,102.2,102.6,89.6,.353,.200,.475,13.7,25.0,.253,.442,11.1,70.7,.202
5,Charlotte Hornets,10,6,4,.600,7.2,2.8,108.0,100.9,88.6,.402,.154,.462,11.6,30.3,.301,.470,14.7,73.8,.211
6,Toronto Raptors,12,6,6,.500,6.4,5.6,106.0,105.0,86.9,.262,.190,.481,13.3,29.4,.198,.477,13.8,71.4,.259
7,Dallas Mavericks,10,4,6,.400,3.7,6.3,104.2,108.4,88.5,.317,.213,.436,11.2,27.0,.269,.491,13.1,69.7,.255
8,Sacramento Kings,8,3,5,.375,4.0,4.0,101.5,101.3,96.2,.333,.166,.432,14.4,32.0,.272,.448,13.0,69.9,.256
9,Utah Jazz,5,2,3,.400,1.7,3.3,103.8,108.6,86.3,.332,.141,.447,12.0,30.3,.257,.468,13.1,75.0,.332
10,New York Knicks,5,2,3,.400,1.9,3.1,101.3,105.0,87.8,.328,.165,.496,15.2,22.4,.255,.462,13.3,70.1,.231
11,Phoenix Suns,4,1,3,.250,0.8,3.2,92.2,102.1,96.0,.254,.190,.404,12.1,27.7,.182,.434,15.1,65.8,.282
12,Minnesota Timberwolves,4,1,3,.250,1.0,3.0,93.5,100.9,87.7,.270,.126,.406,12.5,25.0,.220,.470,14.1,75.9,.257
13,Indiana Pacers,4,1,3,.250,1.1,2.9,100.3,107.5,87.0,.228,.222,.436,12.1,26.4,.188,.444,10.6,65.9,.277
14,Orlando Magic,4,1,3,.250,1.3,2.7,107.9,113.9,92.8,.273,.228,.479,10.1,27.4,.187,.453,10.3,63.4,.334
15,Portland Trail Blazers,3,0,3,.000,0.3,2.7,97.3,113.4,91.4,.341,.266,.454,14.6,22.1,.258,.486,10.6,65.6,.237
16,Miami Heat,3,0,3,.000,0.1,2.9,87.5,112.4,89.6,.267,.230,.447,18.8,18.8,.189,.496,13.6,69.7,.363
