Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Dallas Mavericks,21,16,5,.762,14.7,6.3,112.9,106.3,86.6,.339,.297,.519,13.0,25.1,.274,.482,13.5,71.7,.245
2,Miami Heat,21,14,7,.667,12.6,8.4,106.4,103.4,86.3,.379,.244,.485,13.9,26.0,.295,.475,13.0,75.4,.215
3,Oklahoma City Thunder,17,9,8,.529,9.6,7.4,109.5,107.5,90.8,.393,.250,.482,14.2,31.3,.321,.460,11.4,74.4,.305
4,Chicago Bulls,16,9,7,.563,10.5,5.5,105.8,100.9,86.9,.288,.238,.461,13.1,32.3,.226,.462,13.9,76.1,.256
5,Memphis Grizzlies,13,7,6,.538,6.2,6.8,105.4,106.1,90.0,.335,.144,.460,11.9,28.1,.255,.482,14.3,72.2,.289
6,Atlanta Hawks,12,6,6,.500,4.0,8.0,100.4,105.5,85.9,.289,.184,.464,12.7,22.9,.210,.470,12.4,70.6,.233
7,Boston Celtics,9,5,4,.556,4.9,4.1,105.1,103.6,89.1,.262,.208,.514,15.4,23.6,.204,.466,14.2,72.1,.276
8,Los Angeles Lakers,10,4,6,.400,4.5,5.5,107.8,109.3,86.5,.315,.213,.477,12.4,30.8,.244,.524,13.7,78.8,.245
9,New Orleans Hornets,6,2,4,.333,1.5,4.5,104.7,113.1,85.3,.360,.195,.488,13.4,21.2,.267,.500,12.9,67.7,.295
10,Orlando Magic,6,2,4,.333,3.4,2.6,102.4,100.3,86.6,.367,.310,.449,12.7,28.9,.270,.465,13.1,76.6,.205
11,Portland Trail Blazers,6,2,4,.333,1.9,4.1,106.3,112.5,83.0,.294,.228,.487,12.2,24.4,.230,.507,12.5,71.5,.253
12,San Antonio Spurs,6,2,4,.333,2.3,3.7,102.2,105.6,90.8,.369,.235,.471,13.8,23.6,.281,.498,13.1,76.8,.238
13,Denver Nuggets,5,1,4,.200,1.7,3.3,103.4,108.5,94.2,.468,.239,.468,11.6,17.2,.330,.468,12.5,70.8,.343
14,Indiana Pacers,5,1,4,.200,1.2,3.8,100.2,108.5,90.0,.304,.192,.445,14.3,29.1,.234,.461,14.8,63.2,.291
15,Philadelphia 76ers,5,1,4,.200,1.2,3.8,100.7,109.3,86.0,.213,.201,.453,10.6,23.9,.154,.462,11.3,69.1,.303
16,New York Knicks,4,0,4,.000,0.9,3.1,99.0,108.2,91.7,.298,.286,.435,14.0,30.7,.223,.520,15.7,69.3,.174
