Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Los Angeles Lakers,23,16,7,.696,16.9,6.1,111.4,103.5,91.1,.342,.229,.508,12.3,27.1,.255,.471,13.7,73.8,.270
2,Orlando Magic,24,13,11,.542,13.6,10.4,107.3,105.3,89.2,.360,.309,.513,13.1,21.6,.260,.488,12.7,77.2,.232
3,Cleveland Cavaliers,14,10,4,.714,10.9,3.1,112.6,102.7,86.1,.383,.263,.507,12.3,27.6,.284,.480,12.5,78.3,.230
4,Denver Nuggets,16,10,6,.625,12.2,3.8,116.8,107.5,92.4,.426,.269,.526,11.5,26.4,.324,.493,14.8,74.7,.326
5,Boston Celtics,14,7,7,.500,7.0,7.0,106.3,106.3,91.4,.309,.222,.485,12.5,25.1,.245,.493,13.3,77.8,.265
6,Houston Rockets,13,7,6,.538,5.8,7.2,104.7,106.4,87.4,.288,.265,.490,14.2,24.8,.221,.487,11.6,73.7,.210
7,Dallas Mavericks,10,5,5,.500,4.7,5.3,113.0,114.0,89.9,.375,.272,.518,12.8,24.7,.305,.525,11.0,77.4,.271
8,Atlanta Hawks,11,4,7,.364,2.7,8.3,102.0,110.6,82.4,.323,.238,.450,12.6,26.1,.241,.514,14.4,69.8,.263
9,Miami Heat,7,3,4,.429,3.7,3.3,106.7,105.6,82.6,.324,.287,.501,14.4,25.2,.265,.464,12.5,73.1,.261
10,Chicago Bulls,7,3,4,.429,2.6,4.4,105.9,110.1,92.6,.343,.221,.483,13.9,24.3,.277,.495,11.6,73.2,.243
11,Philadelphia 76ers,6,2,4,.333,1.4,4.6,100.5,109.2,88.0,.276,.211,.492,14.9,21.3,.196,.514,12.9,74.2,.237
12,Portland Trail Blazers,6,2,4,.333,1.8,4.2,103.9,110.2,83.9,.264,.190,.484,12.0,23.7,.201,.517,12.8,76.1,.222
13,New Orleans Hornets,5,1,4,.200,0.1,4.9,93.7,120.7,89.8,.399,.262,.439,18.2,22.4,.322,.563,12.3,73.5,.290
14,San Antonio Spurs,5,1,4,.200,1.4,3.6,105.4,112.4,85.7,.269,.230,.495,11.4,21.3,.191,.516,12.1,76.6,.274
15,Utah Jazz,5,1,4,.200,1.1,3.9,104.2,114.1,93.4,.373,.180,.463,13.4,30.4,.277,.546,14.6,73.5,.271
16,Detroit Pistons,4,0,4,.000,0.3,3.7,93.6,112.2,83.3,.188,.159,.429,11.9,19.7,.156,.498,11.7,73.2,.349
