Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,San Antonio Spurs,23,16,7,.696,18.0,5.0,114.2,104.2,92.7,.291,.267,.546,12.1,23.6,.223,.492,13.4,77.2,.197
2,Miami Heat,20,13,7,.650,11.3,8.7,112.8,110.8,86.2,.305,.326,.555,12.9,17.1,.238,.539,14.2,75.3,.220
3,Oklahoma City Thunder,19,10,9,.526,8.8,10.2,108.1,109.2,92.3,.327,.287,.496,14.0,27.1,.268,.485,10.5,74.2,.212
4,Indiana Pacers,19,10,9,.526,8.8,10.2,103.7,104.8,88.3,.314,.258,.500,13.8,21.1,.228,.493,13.6,77.0,.218
5,Washington Wizards,11,6,5,.545,5.9,5.1,102.0,100.9,87.8,.285,.211,.468,12.5,27.9,.198,.471,12.7,79.7,.227
6,Los Angeles Clippers,13,6,7,.462,7.3,5.7,113.3,111.3,96.0,.334,.302,.515,11.4,26.2,.244,.521,14.9,70.4,.272
7,Brooklyn Nets,12,5,7,.417,5.4,6.6,110.5,112.0,86.4,.330,.302,.514,12.5,25.1,.243,.516,13.3,77.0,.306
8,Portland Trail Blazers,11,5,6,.455,3.4,7.6,107.2,113.6,94.6,.281,.260,.482,12.3,26.1,.224,.508,10.4,70.6,.208
9,Atlanta Hawks,7,3,4,.429,3.2,3.8,101.9,103.0,90.7,.316,.417,.456,13.1,20.4,.261,.500,14.6,76.2,.220
10,Golden State Warriors,7,3,4,.429,2.5,4.5,110.2,114.8,96.6,.335,.316,.518,15.3,30.8,.244,.529,12.9,72.1,.290
11,Dallas Mavericks,7,3,4,.429,3.0,4.0,110.0,112.1,92.0,.217,.259,.500,10.7,26.4,.166,.542,13.4,76.6,.245
12,Memphis Grizzlies,7,3,4,.429,2.2,4.8,102.8,108.5,88.8,.293,.173,.442,10.1,27.0,.214,.483,14.1,69.0,.263
13,Toronto Raptors,7,3,4,.429,3.1,3.9,108.2,110.0,88.8,.391,.283,.486,15.0,26.8,.326,.506,11.8,77.0,.291
14,Houston Rockets,6,2,4,.333,3.1,2.9,114.8,114.4,92.7,.325,.280,.490,11.7,35.3,.242,.507,10.6,72.8,.258
15,Chicago Bulls,5,1,4,.200,1.7,3.3,103.0,108.3,85.6,.290,.244,.463,13.0,27.9,.219,.479,10.2,72.2,.225
16,Charlotte Hornets,4,0,4,.000,0.8,3.2,101.5,112.3,90.6,.312,.282,.500,14.9,20.8,.223,.539,10.7,85.7,.260
