Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Toronto Raptors,24,16,8,.667,16.2,7.8,110.0,104.4,96.0,.275,.406,.514,11.2,18.9,.228,.491,14.0,77.7,.233
2,Golden State Warriors,22,14,8,.636,13.3,8.7,115.3,111.9,98.1,.282,.380,.548,13.3,24.8,.230,.522,13.1,76.6,.243
3,Milwaukee Bucks,15,10,5,.667,11.4,3.6,111.1,102.5,100.1,.317,.431,.523,11.3,21.5,.231,.474,10.8,83.0,.207
4,Portland Trail Blazers,16,8,8,.500,7.3,8.7,110.6,112.0,96.0,.274,.363,.501,11.3,24.4,.210,.503,11.3,72.4,.234
5,Denver Nuggets,14,7,7,.500,7.8,6.2,114.4,112.5,92.6,.279,.308,.495,8.7,27.3,.218,.497,8.8,74.8,.212
6,Philadelphia 76ers,12,7,5,.583,7.2,4.8,109.9,106.8,98.9,.301,.331,.514,14.4,27.2,.238,.488,11.4,79.5,.246
7,Houston Rockets,11,6,5,.545,6.6,4.4,110.9,107.6,97.0,.290,.510,.537,14.3,23.1,.221,.499,12.9,75.0,.217
8,Boston Celtics,9,5,4,.556,4.1,4.9,102.2,103.6,99.9,.288,.392,.491,13.5,16.6,.231,.491,10.9,82.4,.199
9,San Antonio Spurs,7,3,4,.429,3.1,3.9,112.4,114.5,91.9,.270,.233,.503,8.1,24.2,.208,.516,8.7,76.8,.177
10,Los Angeles Clippers,6,2,4,.333,1.4,4.6,111.5,121.0,102.9,.323,.355,.511,12.8,21.9,.264,.574,12.5,74.5,.251
11,Oklahoma City Thunder,5,1,4,.200,1.6,3.4,105.4,111.2,99.9,.295,.365,.500,13.5,22.7,.223,.519,12.7,75.7,.209
12,Orlando Magic,5,1,4,.200,0.6,4.4,96.2,111.2,95.7,.267,.419,.451,14.4,20.3,.207,.550,11.8,82.8,.161
13,Brooklyn Nets,5,1,4,.200,1.1,3.9,106.7,117.3,104.4,.319,.372,.480,12.0,22.6,.258,.542,13.3,67.9,.230
14,Utah Jazz,5,1,4,.200,1.1,3.9,99.2,108.5,98.6,.296,.414,.455,13.5,24.9,.222,.526,13.8,80.5,.219
15,Indiana Pacers,4,0,4,.000,1.0,3.0,96.3,104.2,95.3,.246,.356,.461,11.5,16.6,.177,.517,15.2,81.1,.206
16,Detroit Pistons,4,0,4,.000,0.2,3.8,96.8,120.2,101.3,.171,.344,.444,9.2,19.8,.124,.583,12.8,76.4,.246
