Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Miami Heat,23,16,7,.696,17.1,5.9,109.6,101.6,88.0,.364,.258,.505,12.8,26.1,.271,.466,14.0,74.0,.229
2,Oklahoma City Thunder,20,13,7,.650,12.7,7.3,111.8,107.4,90.6,.306,.240,.508,11.3,23.6,.251,.491,13.7,74.7,.262
3,Boston Celtics,20,11,9,.550,10.8,9.2,100.4,99.2,87.8,.280,.211,.468,13.0,20.1,.224,.464,13.4,75.1,.203
4,San Antonio Spurs,14,10,4,.714,9.8,4.2,110.3,103.9,92.4,.290,.287,.541,13.8,21.8,.212,.480,12.6,74.8,.216
5,Philadelphia 76ers,13,7,6,.538,5.9,7.1,96.9,98.3,88.5,.312,.168,.436,11.5,23.9,.225,.459,14.1,76.8,.198
6,Indiana Pacers,11,6,5,.545,6.1,4.9,102.4,100.9,88.0,.289,.225,.461,14.4,29.8,.223,.469,13.2,75.2,.217
7,Los Angeles Lakers,12,5,7,.417,4.2,7.8,105.4,110.0,89.2,.285,.207,.454,11.8,31.0,.221,.474,9.7,69.7,.200
8,Los Angeles Clippers,11,4,7,.364,3.7,7.3,101.3,106.5,88.9,.315,.217,.499,14.7,22.2,.210,.491,14.5,71.0,.268
9,Denver Nuggets,7,3,4,.429,3.6,3.4,107.1,106.6,90.3,.227,.213,.460,10.2,33.0,.163,.461,11.0,66.7,.186
10,Memphis Grizzlies,7,3,4,.429,3.7,3.3,102.8,102.0,87.7,.403,.155,.449,14.7,32.6,.300,.493,15.0,75.9,.244
11,Atlanta Hawks,6,2,4,.333,1.9,4.1,91.8,97.1,87.9,.204,.237,.438,15.1,22.6,.160,.461,13.0,82.3,.211
12,Chicago Bulls,6,2,4,.333,2.6,3.4,95.7,97.6,88.1,.229,.157,.448,13.9,26.8,.149,.428,9.9,78.2,.248
13,New York Knicks,5,1,4,.200,0.5,4.5,95.2,111.3,86.9,.297,.248,.451,18.1,30.1,.226,.511,13.7,74.1,.315
14,Orlando Magic,5,1,4,.200,0.8,4.2,94.8,107.0,86.6,.244,.316,.452,14.0,22.6,.172,.480,13.3,68.4,.196
15,Dallas Mavericks,4,0,4,.000,1.1,2.9,102.9,110.1,90.6,.343,.276,.455,13.9,24.7,.285,.520,12.8,80.5,.265
16,Utah Jazz,4,0,4,.000,0.3,3.7,93.9,111.3,91.9,.306,.131,.395,12.2,32.0,.216,.533,11.6,80.7,.213
