Type,Year,Rk,Team,W,L,ORtg,DRtg
playoffs,2011,15,Philadelphia 76ers,1,4,100.7,109.3
playoffs,2011,16,New York Knicks,0,4,99,108.2
playoffs,2012,1,Miami Heat,16,7,109.6,101.6
playoffs,2012,2,Oklahoma City Thunder,13,7,111.8,107.4
playoffs,2012,3,Boston Celtics,11,9,100.4,99.2
playoffs,2012,4,San Antonio Spurs,10,4,110.3,103.9
playoffs,2012,5,Philadelphia 76ers,7,6,96.9,98.3
playoffs,2012,6,Indiana Pacers,6,5,102.4,100.9
playoffs,2012,7,Los Angeles Lakers,5,7,105.4,110
playoffs,2012,8,Los Angeles Clippers,4,7,101.3,106.5
playoffs,2012,9,Denver Nuggets,3,4,107.1,106.6
playoffs,2012,10,Memphis Grizzlies,3,4,102.8,102
playoffs,2012,11,Atlanta Hawks,2,4,91.8,97.1
playoffs,2012,12,Chicago Bulls,2,4,95.7,97.6
playoffs,2012,13,New York Knicks,1,4,95.2,111.3
playoffs,2012,14,Orlando Magic,1,4,94.8,107
playoffs,2012,15,Dallas Mavericks,0,4,102.9,110.1
playoffs,2012,16,Utah Jazz,0,4,93.9,111.3
playoffs,2013,1,Miami Heat,16,7,110.2,102.9
playoffs,2013,2,San Antonio Spurs,15,6,108.7,101.1
playoffs,2013,3,Indiana Pacers,11,8,104.5,104.4
playoffs,2013,4,Memphis Grizzlies,8,7,105,104.3
playoffs,2013,5,New York Knicks,6,6,101.4,98.3
playoffs,2013,6,Golden State Warriors,6,6,106.4,106.2
playoffs,2013,7,Oklahoma City Thunder,5,6,105.1,103.7
playoffs,2013,8,Chicago Bulls,5,7,102.5,110
playoffs,2013,9,Brooklyn Nets,3,4,107.8,105.6
playoffs,2013,10,Los Angeles Clippers,2,4,107.5,113.8
playoffs,2013,11,Houston Rockets,2,4,105.3,111.4
playoffs,2013,12,Denver Nuggets,2,4,105.9,110.2
playoffs,2013,13,Boston Celtics,2,4,92.9,98.9
playoffs,2013,14,Atlanta Hawks,2,4,98,103.6
playoffs,2013,15,Los Angeles Lakers,0,4,92.5,112.9
playoffs,2013,16,Milwaukee Bucks,0,4,94,110.3
playoffs,2014,1,San Antonio Spurs,16,7,114.2,104.2
playoffs,2014,2,Miami Heat,13,7,112.8,110.8
playoffs,2014,3,Oklahoma City Thunder,10,9,108.1,109.2
playoffs,2014,4,Indiana Pacers,10,9,103.7,104.8
playoffs,2014,5,Washington Wizards,6,5,102,100.9
playoffs,2014,6,Los Angeles Clippers,6,7,113.3,111.3
playoffs,2014,7,Brooklyn Nets,5,7,110.5,112
playoffs,2014,8,Portland Trail Blazers,5,6,107.2,113.6
playoffs,2014,9,Atlanta Hawks,3,4,101.9,103
playoffs,2014,10,Golden State Warriors,3,4,110.2,114.8
playoffs,2014,11,Dallas Mavericks,3,4,110,112.1
playoffs,2014,12,Memphis Grizzlies,3,4,102.8,108.5
playoffs,2014,13,Toronto Raptors,3,4,108.2,110
playoffs,2014,14,Houston Rockets,2,4,114.8,114.4
playoffs,2014,15,Chicago Bulls,1,4,103,108.3
playoffs,2014,16,Charlotte Bobcats,0,4,101.5,112.3
playoffs,2015,1,Golden State Warriors,16,5,108.7,100.5
playoffs,2015,2,Cleveland Cavaliers,14,6,107.4,103.1
playoffs,2015,3,Houston Rockets,9,8,106.6,109
playoffs,2015,4,Atlanta Hawks,8,8,103.4,103.6
playoffs,2015,5,Los Angeles Clippers,7,7,108.4,107.1
playoffs,2015,6,Washington Wizards,6,4,105.8,101.7
playoffs,2015,7,Chicago Bulls,6,6,104.4,100.7
playoffs,2015,8,Memphis Grizzlies,6,5,103,104.4
playoffs,2015,9,San Antonio Spurs,3,4,107.8,107.3
playoffs,2015,10,Milwaukee Bucks,2,4,91.8,104.6
playoffs,2015,11,Brooklyn Nets,2,4,100.8,106.5
playoffs,2015,12,Portland Trail Blazers,1,4,101.9,109.3
playoffs,2015,13,Dallas Mavericks,1,4,107.9,112
playoffs,2015,14,Boston Celtics,0,4,101.5,111.5
playoffs,2015,15,New Orleans Pelicans,0,4,106.8,115.2
playoffs,2015,16,Toronto Raptors,0,4,99.3,113.7
playoffs,2016,1,Cleveland Cavaliers,16,5,115.5,106
playoffs,2016,2,Golden State Warriors,15,9,110.5,106.1
playoffs,2016,3,Oklahoma City Thunder,11,7,111.8,106.2
playoffs,2016,4,Toronto Raptors,10,10,102.8,107.5
playoffs,2016,5,Miami Heat,7,7,105.1,101.7
playoffs,2016,6,San Antonio Spurs,6,4,111,101.1
playoffs,2016,7,Portland Trail Blazers,5,6,108.1,110.7
playoffs,2016,8,Atlanta Hawks,4,6,103.5,104.5
playoffs,2016,9,Charlotte Hornets,3,4,99.2,109
playoffs,2016,10,Indiana Pacers,3,4,105.5,103.9
playoffs,2016,11,Los Angeles Clippers,2,4,104.9,103.9
playoffs,2016,12,Boston Celtics,2,4,93.8,100.5
playoffs,2016,13,Houston Rockets,1,4,92.7,111.8
playoffs,2016,14,Dallas Mavericks,1,4,102.1,122
playoffs,2016,15,Memphis Grizzlies,0,4,90.9,115.6
playoffs,2016,16,Detroit Pistons,0,4,109.4,119.2
playoffs,2017,1,Golden State Warriors,16,1,119,105.5
playoffs,2017,2,Cleveland Cavaliers,13,5,120.3,112.1
playoffs,2017,3,Boston Celtics,9,9,111.4,114.5
playoffs,2017,4,San Antonio Spurs,8,8,113.4,112.3
playoffs,2017,5,Washington Wizards,7,6,110.9,110.9
playoffs,2017,6,Houston Rockets,6,5,110.7,109.5
playoffs,2017,7,Utah Jazz,4,7,106.2,111.3
playoffs,2017,8,Toronto Raptors,4,6,103.8,109.9
playoffs,2017,9,Los Angeles Clippers,3,4,108.8,110
playoffs,2017,10,Milwaukee Bucks,2,4,103,103.7
playoffs,2017,11,Memphis Grizzlies,2,4,110.3,119.8
playoffs,2017,12,Chicago Bulls,2,4,104.8,112.2
playoffs,2017,13,Atlanta Hawks,2,4,107.3,108.5
playoffs,2017,14,Oklahoma City Thunder,1,4,105.7,114.4
playoffs,2017,15,Portland Trail Blazers,0,4,99.3,116.9
playoffs,2017,16,Indiana Pacers,0,4,114.7,118.9
playoffs,2018,1,Golden State Warriors,16,5,113.9,103.6
playoffs,2018,2,Cleveland Cavaliers,12,10,109.4,111.2
playoffs,2018,3,Boston Celtics,11,8,107.7,107
playoffs,2018,4,Houston Rockets,11,6,109.6,107.7
playoffs,2018,5,Utah Jazz,5,6,104.7,106.9
playoffs,2018,6,Philadelphia 76ers,5,5,110.4,106.5
playoffs,2018,7,New Orleans Pelicans,5,4,107.1,107.8
playoffs,2018,8,Toronto Raptors,4,6,112,116.6
playoffs,2018,9,Milwaukee Bucks,3,4,108.8,109.4
playoffs,2018,10,Indiana Pacers,3,4,110.9,104.6
playoffs,2018,11,Oklahoma City Thunder,2,4,103.5,107.9
playoffs,2018,12,Washington Wizards,2,4,110.3,112.3
playoffs,2018,13,Minnesota Timberwolves,1,4,107,116.2
playoffs,2018,14,Miami Heat,1,4,103,113.7
playoffs,2018,15,San Antonio Spurs,1,4,103.7,113.1
playoffs,2018,16,Portland Trail Blazers,0,4,106.9,116
playoffs,2019,1,Toronto Raptors,16,8,110,104.4
playoffs,2019,2,Golden State Warriors,14,8,115.3,111.9
playoffs,2019,3,Milwaukee Bucks,10,5,111.1,102.5
playoffs,2019,4,Portland Trail Blazers,8,8,110.6,112
playoffs,2019,5,Denver Nuggets,7,7,114.4,112.5
playoffs,2019,6,Philadelphia 76ers,7,5,109.9,106.8
playoffs,2019,7,Houston Rockets,6,5,110.9,107.6
playoffs,2019,8,Boston Celtics,5,4,102.2,103.6
playoffs,2019,9,San Antonio Spurs,3,4,112.4,114.5
playoffs,2019,10,Los Angeles Clippers,2,4,111.5,121
playoffs,2019,11,Oklahoma City Thunder,1,4,105.4,111.2
playoffs,2019,12,Orlando Magic,1,4,96.2,111.2
playoffs,2019,13,Brooklyn Nets,1,4,106.7,117.3
playoffs,2019,14,Utah Jazz,1,4,99.2,108.5
playoffs,2019,15,Indiana Pacers,0,4,96.3,104.2
playoffs,2019,16,Detroit Pistons,0,4,96.8,120.2
