Rk,Team,G,W,L,W/L%,PW,PL,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA
1,Chicago Bulls,19,15,4,.789,13.4,5.6,108.2,101.7,85.5,.289,.239,.470,12.1,34.9,.213,.469,16.3,72.5,.288
2,Utah Jazz,20,13,7,.650,12.4,7.6,110.5,106.7,86.6,.408,.181,.485,13.1,29.3,.320,.483,12.9,74.2,.282
3,Houston Rockets,16,9,7,.563,9.0,7.0,113.3,111.3,88.8,.369,.318,.516,14.5,31.2,.283,.483,11.8,68.8,.255
4,Miami Heat,17,8,9,.471,8.7,8.3,99.7,99.4,86.2,.371,.330,.467,16.2,27.2,.257,.442,14.2,71.3,.256
5,New York Knicks,10,6,4,.600,5.7,4.3,103.7,101.8,87.9,.302,.201,.504,15.9,25.4,.233,.474,15.3,73.6,.261
6,Seattle Supersonics,12,6,6,.500,7.8,4.2,113.2,108.4,91.2,.344,.263,.494,12.5,32.0,.281,.491,15.0,69.3,.259
7,Atlanta Hawks,10,4,6,.400,3.9,6.1,105.5,108.9,84.4,.369,.309,.485,16.4,29.9,.287,.484,10.9,69.2,.181
8,Los Angeles Lakers,9,4,5,.444,4.9,4.1,108.9,107.6,86.5,.485,.211,.481,13.2,28.9,.359,.468,14.2,69.6,.342
9,Detroit Pistons,5,2,3,.400,2.1,2.9,103.9,106.3,82.4,.265,.227,.471,10.3,21.4,.203,.496,16.8,69.5,.275
10,Orlando Magic,5,2,3,.400,1.1,3.9,99.3,108.5,84.8,.345,.247,.448,12.9,22.9,.258,.495,13.7,67.6,.202
11,Phoenix Suns,5,2,3,.400,0.8,4.2,103.3,116.3,95.0,.337,.351,.478,14.6,23.5,.257,.516,12.4,68.5,.267
12,Portland Trail Blazers,4,1,3,.250,1.0,3.0,104.2,112.4,86.1,.373,.233,.479,15.4,29.6,.271,.496,12.9,69.2,.399
13,Minnesota Timberwolves,3,0,3,.000,0.5,2.5,110.5,123.1,90.2,.203,.188,.487,8.8,29.6,.150,.574,13.7,69.2,.294
14,Los Angeles Clippers,3,0,3,.000,0.4,2.6,106.1,120.6,87.0,.382,.240,.476,12.0,24.0,.280,.552,13.7,67.6,.389
15,Charlotte Hornets,3,0,3,.000,0.7,2.3,109.9,119.9,87.0,.257,.212,.492,13.0,31.4,.207,.629,15.3,75.3,.158
16,Washington Bullets,3,0,3,.000,0.9,2.1,108.1,114.9,87.9,.405,.144,.505,18.1,32.1,.316,.492,12.2,60.8,.233
